URL,Response Code,News Error,Detected,Category,Platform,Last crawled
http://trip.ee/taxonomy/term/176,404,,6/13/11,Not found,Desktop,6/7/16
http://trip.ee/taxonomy/term/1891,404,,6/13/11,Not found,Desktop,5/1/16
http://trip.ee/taxonomy/term/281,404,,6/13/11,Not found,Desktop,4/28/16
http://trip.ee/taxonomy/term/684,404,,6/11/11,Not found,Desktop,5/4/16
http://trip.ee/taxonomy/term/4409,404,,3/8/12,Not found,Desktop,6/3/16
http://trip.ee/taxonomy/term/69,404,,6/15/11,Not found,Desktop,6/3/16
http://trip.ee/taxonomy/term/1076,404,,6/13/11,Not found,Desktop,4/29/16
http://trip.ee/taxonomy/term/844,404,,6/22/11,Not found,Desktop,6/4/16
http://trip.ee/taxonomy/term/285,404,,7/1/11,Not found,Desktop,5/11/16
http://trip.ee/taxonomy/term/550,404,,7/8/11,Not found,Desktop,6/8/16
http://trip.ee/taxonomy/term/605,404,,6/11/11,Not found,Desktop,4/30/16
http://trip.ee/taxonomy/term/89,404,,6/11/11,Not found,Desktop,4/17/16
http://trip.ee/taxonomy/term/65,404,,6/15/11,Not found,Desktop,6/4/16
http://trip.ee/taxonomy/term/171,404,,8/18/11,Not found,Desktop,5/1/16
http://trip.ee/taxonomy/term/184,404,,6/9/11,Not found,Desktop,4/27/16
http://trip.ee/content/taxonomy/term/8,404,,5/16/13,Not found,Desktop,6/22/16
http://trip.ee/content/taxonomy/term/6,404,,5/16/13,Not found,Desktop,6/22/16
http://trip.ee/content/taxonomy/term/4368,404,,5/16/13,Not found,Desktop,6/22/16
http://trip.ee/content/category/reisistiilid/kultuurireis,404,,5/16/13,Not found,Desktop,6/21/16
http://trip.ee/content/category/rubriigid/reisiideed,404,,5/16/13,Not found,Desktop,6/21/16
http://trip.ee/content/category/reisistiilid/pulmareis,404,,5/16/13,Not found,Desktop,6/21/16
http://trip.ee/content/category/reisistiilid/laevareis,404,,5/16/13,Not found,Desktop,6/21/16
http://trip.ee/content/category/reisistiilid/seljakotireis,404,,5/17/13,Not found,Desktop,6/21/16
